Service Delay,Conflicting Flow(P/m), Proportation of 3W&4W
27,33.01,32.86
31,30.53,40.79
28,28.64,39.36
30,32.87,38.98
29,31.17,40.40
25,27.83,37.35
22,24.59,38.87
20,25.02,35.06
18,28.46,32.43
13,10.52,35.38
17,23.09,28.00
16,28.37,24.19
14,23.75,29.00
14,23.81,7.14
13,19.02,23.86
13,17.33,25.36
13,24.50,31.52
11,20.79,29.55
10,12.12,33.33
21,26.30,39.79
9,14.63,25.81
8,14.82,27.93
7,10.27,21.43
8,8.59,10.75
9,7.15,15.85
16,15.12,12.82051282
10,10.61,24
11,10.07,31.70731707
12,15.47,30.3030303
13,12.06,23.07692308
13,26.78,42.55319149
13,24.12,38.88888889
14,19.24,31.57894737
17,13.14,8.571428571
14,25.33,36
14,20.07,31.70731707
15,18.07,34.28571429
15,23.51,33.33333333
15,26.02,36.53846154
15,23.16,36.95652174
15,12.46,29.62962963
16,13.1,18.51851852
16,11.07,20.83333333
16,15.94,20.51282051
16,9.62,21.73913043
16,15.8,23.52941176
17,14.24,24.13793103
17,19.86,45.71428571
17,13.52,17.64705882
17,18.02,36.11111111
17,27.7,47.91666667
19,27.48,25.71428571
19,21.42,50
19,9.97,6.666666667
20,23.52,37.5
20,15.37,28.57142857
21,20.2,40
21,11.07,20.83333333
21,20.46,35.8974359
21,25.47,40.42553191
22,14.85,44.44444444
22,18.7,31.25
22,21.65,31.81818182
23,24.31,27.08333333
23,17.83,46.875
24,19.59,41.66666667
24,20.46,38.46153846
25,26.27,42.85714286
26,13.58,37.03703704
27,28.17,36.66666667
27,16.13,15.38461538
29,23.87,45.23809524
29,32.66,31.03448276
29,29.56,17.07317073
30,13.21,33.33333333
30,27.59,40.38461538
30,16.7,48.27586207
31,17.42,43.75
31,13.3,40
31,26.68,51.11111111
32,28.03,5.1
32,30.66,25.64102564
32,26.84,45.83333333
32,31.5,13.04347826
33,28.93,35.8490566
34,32.49,33.33333333
34,34.22,39.13043478
35,36.28,18.51851852
35,23.17,23.91304348
35,26.91,44.44444444
36,34.62,32.35294118
36,32.63,34
38,35.94,4.4
40,38.6,34.7826087
40,30.25,47.72727273
40,30.79,50.94339623
41,34.77,49.14285714
41,36.29,44.82758621
44,33.91,55
47.6,38.22,53.82352941
49,38.8,51.72972973
14,13.49,17.7
13,19.23,19.7
13,21.915,14.9
14,12.18,17.8
14,21.29,18.4
16,8.935,12.24489796
23,5.915,32.9
25,22.985,31.64556962
27,20.3,27.16049383
31,26.65,39.75903614
31,25.7,24.17582418
33,30.515,30.12048193
36,29.73,30.58823529
37,28.35,30.43478261
38,30.3,32
39,30.12,31.95876289
31,32.9,39.13043478
30,27.88,47.14285714
29,23.01,50
28,30.17,41.07142857
27,27.17,42.85714286
26,27.68,38.29787234
25,25.51,37.20930233
24,24.35,31.37254902
24,20.67,26.66666667
24,26.02,34.1
23,18.92,37.5
22,22.81,25
22,18.34,20
20,15.66,31.03448276
19,21.56,26.31578947
18,16.56,17.07317073
18,29.99,11.8
18,21.82,30.95238095
17,17.97,17.39130435
17,10.61,24
17,12.19,33.33333333
16,20.27,22.72727273
16,8.5,13.04347826
15,17.66,25.64102564
15,17.05,14.4
15,21,8.4
15,26.22,20.4
15,23.43,40
15,16.66,29.41176471
14,17.16,40.625
14,23.65,25.92592593
14,12.49,33.33333333
13,20.36,34.21052632
13,21.22,30.95238095
13,13.4,30.35714286
12,6.65,15.38461538
11,5.78,5.555555556
11,14.52,20
11,18.86,24.1
10,11.13,12.9
10,16.02,20
8,10.51,14.28571429
8,14.22,19.1
