SD,CF(PCU/min),CF*2(PCU/min),%_of_4W,%_of_4W*2
6,6.1,37.8,11.2,125.8
5,8.4,70.1,14.6,212.7
3,9.0,81.0,8.3,69.4
8,9.4,87.8,3.8,14.8
14,19.5,381.0,7.7,59.2
17,10.7,115.5,16.7,277.8
11,11.2,126.3,11.5,133.1
9,12.7,160.5,6.1,36.7
14,12.9,165.9,7.7,59.2
4,12.9,165.9,8.9,79.4
15,13.0,170.0,3.4,11.9
8,13.1,171.5,11.8,138.4
10,13.9,192.9,19.2,369.8
13,14.1,199.1,5.4,29.2
17,14.2,201.9,25.0,625.0
23,14.2,201.9,25.0,625.0
13,14.4,205.9,20.7,428.1
17,14.4,208.2,6.6,43.0
19,14.5,209.5,6.3,40.3
11,14.6,211.8,14.5,211.6
9,14.7,214.8,15.4,236.7
13,14.8,219.3,14.7,216.3
11,14.9,220.5,7.5,56.3
18,15.1,227.9,17.9,320.8
10,15.5,239.5,11.3,127.1
25,15.5,239.8,7.3,52.9
10,15.6,242.3,7.0,49.2
15,15.7,246.3,1.2,1.4
5,15.8,250.7,2.4,5.5
9,15.9,253.0,12.3,151.5
10,16.3,264.9,10.0,100.0
7,16.5,272.9,2.4,5.9
7,16.5,272.9,2.4,5.9
10,16.8,281.7,5.1,26.3
15,16.8,281.7,5.1,26.3
16,17.0,290.4,9.9,97.2
5,17.1,291.2,11.0,120.1
21,17.1,291.9,9.0,80.5
10,17.1,292.2,10.1,102.5
8,17.2,295.3,14.9,222.8
12,17.2,295.3,14.9,222.8
8,17.2,296.9,16.2,263.0
16,17.3,300.7,8.1,65.7
10,17.4,302.9,7.4,54.1
5,17.5,304.7,12.2,147.9
10,17.5,306.1,2.5,6.1
10,17.5,306.8,9.1,82.6
5,17.6,308.2,6.6,43.3
10,17.7,311.9,4.2,17.9
29,17.7,311.9,23.2,539.4
19,17.7,312.2,2.3,5.2
11,17.7,313.3,15.4,236.7
11,17.9,320.4,21.2,450.0
19,17.9,320.4,21.2,450.0
10,17.9,320.9,10.7,113.8
12,18.0,323.5,12.1,145.4
10,18.0,325.1,16.4,269.5
10,18.1,326.9,15.8,249.3
16,18.1,329.1,10.7,113.8
10,18.2,332.0,12.8,164.4
19,18.3,333.1,17.5,306.3
10,18.3,334.3,13.0,168.7
12,18.3,334.3,1.3,1.6
10,18.3,336.0,6.3,40.3
12,18.4,337.3,9.2,84.8
25,18.4,337.6,6.9,48.2
17,18.7,348.0,12.3,152.4
6,18.7,348.9,15.5,240.0
9,18.7,349.5,16.4,270.2
15,18.7,349.5,3.7,13.4
9,18.7,350.8,8.2,66.6
15,18.8,354.6,5.0,25.0
29,18.8,354.8,17.6,308.9
9,18.8,355.1,8.3,69.4
12,18.9,355.9,2.6,6.9
20,18.9,355.9,7.1,49.8
10,18.9,357.2,10.4,107.9
11,18.9,357.2,7.1,49.8
15,18.9,357.2,10.4,107.9
29,19.0,360.6,8.6,74.7
26,19.0,362.5,16.3,266.6
16,19.2,368.1,7.6,57.9
10,19.2,368.1,13.3,177.8
18,19.2,370.0,17.4,302.5
30,19.3,370.6,27.7,766.9
17,19.3,372.3,10.3,106.3
22,19.3,372.3,10.3,106.3
10,19.3,373.3,8.5,71.4
12,19.4,375.0,9.4,88.6
15,19.4,375.0,9.4,88.6
33,19.4,376.0,29.3,857.7
27,19.4,377.5,29.6,874.8
14,19.5,378.3,5.5,30.2
15,19.5,379.9,21.6,467.5
12,19.5,381.6,16.5,271.3
10,19.5,381.8,19.0,362.8
14,19.5,381.8,19.0,362.8
9,19.6,384.4,9.7,94.3
9,19.7,387.3,19.4,374.6
24,19.7,387.3,19.4,374.6
15,19.7,389.1,4.7,22.1
10,19.7,389.7,2.9,8.7
12,19.8,390.3,13.0,168.7
10,19.8,393.4,2.5,6.1
21,19.8,393.8,10.0,100.0
15,19.9,394.8,11.1,123.5
15,19.9,394.8,11.1,123.5
10,20.0,401.2,10.3,105.2
17,20.1,403.8,18.1,326.0
9,20.1,404.0,8.9,78.5
17,20.2,408.2,9.4,88.6
7,20.3,412.3,11.2,126.2
15,20.3,412.7,13.0,168.7
7,20.3,413.5,3.5,12.1
15,20.5,418.2,16.0,257.6
17,20.5,419.2,19.3,373.2
22,20.6,422.3,21.1,443.2
25,20.6,422.3,21.1,443.2
31,20.6,422.3,21.1,443.2
12,20.6,423.9,9.9,97.8
12,20.6,423.9,10.3,105.2
12,20.6,424.6,10.8,115.6
11,20.8,430.8,14.1,199.7
12,20.8,430.8,14.1,199.7
20,20.8,430.8,9.6,92.9
10,20.8,431.2,6.1,37.2
17,20.9,437.0,8.1,66.0
19,21.0,439.5,3.7,13.4
19,21.0,441.4,8.2,67.6
24,21.1,444.8,14.6,213.4
16,21.2,448.2,9.8,95.2
26,21.2,448.4,22.1,488.1
19,21.2,448.8,16.0,256.0
14,21.4,457.3,18.0,323.2
13,21.4,457.5,20.5,418.4
10,21.4,458.4,10.0,100.0
10,21.4,458.4,10.0,100.0
19,21.4,458.4,10.0,100.0
31,21.5,462.3,8.9,78.5
27,21.6,465.7,15.9,253.1
20,21.6,466.1,5.6,30.9
29,21.7,469.8,17.6,309.1
17,21.8,473.3,7.7,58.8
9,21.8,473.5,7.9,61.9
11,21.8,473.9,12.0,144.0
23,21.9,481.1,9.0,80.8
27,21.9,481.1,9.0,80.8
16,22.0,482.2,5.1,26.3
17,22.0,482.2,5.1,26.3
34,22.0,482.2,22.8,520.8
35,22.0,482.2,22.8,520.8
11,22.1,490.0,13.5,181.8
10,22.3,495.3,12.8,163.6
21,22.3,495.5,8.3,69.4
17,22.3,497.7,9.3,86.5
34,22.3,498.2,30.9,952.9
11,22.4,500.9,8.0,64.7
13,22.6,511.2,12.5,156.3
25,22.7,513.2,7.4,54.9
29,22.7,515.3,28.4,808.5
15,22.7,516.9,15.4,235.7
15,22.7,516.9,15.4,235.7
32,22.7,516.9,25.4,642.7
12,22.9,523.5,13.4,179.6
21,22.9,523.5,8.9,79.4
32,23.0,527.6,27.5,758.8
16,23.0,529.2,17.5,305.4
27,23.1,532.2,26.2,685.9
26,23.2,539.4,14.7,217.2
12,23.2,540.3,8.1,65.3
17,23.2,540.3,8.1,65.3
29,23.3,541.3,12.1,146.9
15,23.4,546.6,5.0,25.0
21,23.4,549.4,3.2,10.4
37,23.5,551.8,27.0,727.7
34,23.5,553.0,25.4,646.9
26,23.9,572.2,8.5,72.4
18,24.0,576.2,8.8,77.9
20,24.0,576.2,8.8,77.9
25,24.0,576.5,12.5,156.3
29,24.1,578.4,17.0,288.2
29,24.1,581.3,16.8,283.2
8,24.2,583.2,5.0,24.5
36,24.2,586.9,26.5,699.7
31,24.2,587.6,9.4,89.0
13,24.3,589.0,8.9,79.7
21,24.3,589.0,17.3,299.6
26,24.3,590.7,26.3,689.1
25,24.5,598.0,12.7,160.2
18,24.5,600.3,5.7,32.0
31,24.7,612.3,16.7,277.8
34,25.1,629.8,18.1,326.0
37,25.3,638.8,26.5,703.0
9,25.5,650.8,11.3,128.2
19,25.5,651.8,20.0,400.0
29,25.6,656.4,25.3,638.2
29,25.8,667.2,10.5,110.8
18,26.0,673.4,8.9,79.7
29,26.0,676.0,16.7,277.8
20,26.0,677.6,25.3,640.2
10,26.1,681.2,13.8,189.4
13,26.1,681.2,13.8,189.4
23,26.1,683.6,11.2,125.8
27,26.1,683.6,11.2,125.8
39,26.2,686.7,25.8,667.8
11,26.2,688.0,15.0,223.9
13,26.3,690.6,8.2,67.2
27,26.3,690.9,22.7,514.4
35,26.4,694.3,18.9,357.9
31,26.4,699.1,19.8,390.6
23,26.5,700.1,5.9,34.6
34,26.7,710.8,13.0,170.1
25,26.7,711.3,9.8,96.1
11,26.8,719.0,14.4,207.8
20,27.1,732.5,12.4,153.0
23,27.6,759.8,5.4,29.2
33,27.8,772.0,23.7,563.5
30,28.0,784.0,27.7,766.9
35,28.5,809.4,21.1,443.2
14,28.6,816.2,14.3,204.1
26,28.7,821.1,12.3,152.4
20,28.7,822.0,21.8,476.0
25,28.9,833.2,23.2,536.3
15,28.9,836.7,20.6,422.7
23,29.8,885.4,4.4,19.8
29,29.9,892.2,16.3,265.8
23,30.3,915.4,4.9,23.8
31,30.3,915.4,24.9,618.9
16,30.5,931.2,19.8,393.1
29,31.4,985.3,16.0,256.0
28,31.5,989.7,18.5,341.3
26,31.5,994.1,25.9,669.4
38,32.3,1045.2,27.9,781.1
29,32.3,1045.9,25.0,625.0
35,32.7,1070.9,12.2,149.2
30,33.1,1095.6,16.9,286.4
18,33.8,1140.4,23.7,563.1
37,34.4,1182.7,23.7,561.0
18,34.5,1191.6,17.7,313.0
28,34.5,1192.3,14.7,216.3
26,34.8,1211.7,14.7,216.3
27,34.9,1220.1,14.9,222.8
31,35.1,1230.6,13.0,170.1
39,36.3,1319.5,24.2,586.1
25,36.4,1323.9,24.8,614.7
39,36.7,1344.7,22.6,510.9
34,38.0,1440.6,21.8,473.7
31,38.1,1455.0,14.0,196.4
26,38.8,1502.7,25.1,630.8
27,41.1,1692.9,14.0,196.4
31,41.7,1738.5,27.1,733.8
31,26.4,699.1,19.8,390.6
23,26.5,700.1,5.9,34.6
34,26.7,710.8,13.0,170.1
25,26.7,711.3,9.8,96.1
20,27.1,732.5,12.4,153.0
23,27.6,759.8,5.4,29.2
33,27.8,772.0,23.7,563.5
30,28.0,784.0,27.7,766.9
35,28.5,809.4,21.1,443.2
14,28.6,816.2,14.3,204.1
26,28.7,821.1,12.3,152.4
20,28.7,822.0,21.8,476.0
25,28.9,833.2,23.2,536.3
15,28.9,836.7,20.6,422.7
23,29.8,885.4,4.4,19.8
29,29.9,892.2,16.3,265.8
23,30.3,915.4,4.9,23.8
31,30.3,915.4,24.9,618.9
16,30.5,931.2,19.8,393.1
29,31.4,985.3,16.0,256.0
28,31.5,989.7,18.5,341.3
26,31.5,994.1,25.9,669.4
38,32.3,1045.2,27.9,781.1
29,32.3,1045.9,25.0,625.0
35,32.7,1070.9,12.2,149.2
30,33.1,1095.6,16.9,286.4
18,33.8,1140.4,23.7,563.1
18,34.5,1191.6,17.7,313.0
28,34.5,1192.3,14.7,216.3
26,34.8,1211.7,14.7,216.3
27,34.9,1220.1,14.9,222.8
31,35.1,1230.6,13.0,170.1
39,36.3,1319.5,24.2,586.1
25,36.4,1323.9,24.8,614.7
34,38.0,1440.6,21.8,473.7
31,38.1,1455.0,14.0,196.4
26,38.8,1502.7,25.1,630.8
27,41.1,1692.9,14.0,196.4
31,41.7,1738.5,27.1,733.8
26,34.8,1211.7,14.7,216.3
27,34.9,1220.1,14.9,222.8
31,35.1,1230.6,13.0,170.1
39,36.3,1319.5,24.2,586.1
25,36.4,1323.9,24.8,614.7
34,38.0,1440.6,21.8,473.7
31,38.1,1455.0,14.0,196.4
26,38.8,1502.7,25.1,630.8
27,41.1,1692.9,14.0,196.4
31,41.7,1738.5,27.1,733.8
