SD,CF(PCU/min),CF*2(PCU/min),%_of_4W
6,19.1,366.0,6.0
12,20.0,401.6,10.0
15,17.4,303.5,2.1
22,23.3,540.6,14.3
22,23.8,567.9,11.3
25,24.3,590.2,14.1
12,22.7,514.8,14.9
14,24.0,576.0,8.9
11,18.4,339.1,10.4
17,17.9,320.4,21.2
7,14.2,202.9,5.5
4,14.2,202.9,5.5
10,20.3,413.5,3.5
33,24.3,589.0,18.9
31,21.9,479.6,21.2
28,19.4,376.0,29.3
15,22.7,514.8,14.9
12,20.0,401.6,10.0
12,22.7,514.8,14.9
14,24.0,576.0,8.9
14,6.2,37.9,0.00
15,10.1,101.7,2.38
34,30.0,898.2,12.99
15,14.7,217.4,5.00
33,30.3,916.0,5.71
18,9.6,92.0,5.88
31,30.4,921.7,6.25
32,22.4,500.0,6.25
14,18.0,324.0,6.38
19,20.7,426.6,6.45
17,7.4,54.1,6.58
17,19.0,360.1,6.60
21,8.7,75.3,6.74
37,29.0,841.3,7.34
27,18.8,354.6,7.14
25,18.8,354.6,7.32
31,30.4,921.7,6.25
32,22.4,500.0,6.25
14,18.0,324.0,6.38
19,20.7,426.6,6.45
17,7.4,54.1,6.58
17,19.0,360.1,6.60
21,8.7,75.3,6.74
37,29.0,841.3,7.34
27,18.8,354.6,7.14
