SD,CF(PCU/min),CF*2(PCU/min),%_of_4W
14,13.5,182.0,7.0
11,9.2,85.2,9.6
13,14.9,222.5,2.4
14,12.2,148.4,3.7
32,21.3,453.3,13.7
6,8.9,79.8,4.1
9,5.9,35.0,12.9
25,23.0,528.3,15.2
27,16.3,265.7,14.2
31,26.7,710.2,6.0
31,25.7,660.5,5.5
33,30.5,931.2,15.7
27,29.7,883.9,14.7
33,28.4,803.7,18.7
25,30.3,918.1,10.4
17,20.1,404.8,5.2
14,13.5,182.0,7.0
11,9.2,85.2,9.6
13,14.9,222.5,2.4
14,12.2,148.4,3.7
32,21.3,453.3,13.7
6,8.9,79.8,4.1
9,5.9,35.0,12.9
18,15.6,236.0,4.9
22,18.7,366.0,6.7
19,14.2,202.9,7.3
21,17.3,320.4,8.5
14,22.5,422.8,8.3
8,11.5,156.6,10.2
14,19.6,369.1,11.8
26,22.0,528.3,13.6
28,20.1,404.8,12.3
34,29.6,798.0,7.8
34,28.6,651.0,7.3
36,31.8,934.2,16.1
30,32.5,943.5,15.2
36,31.2,886.2,19.2
28,33.0,1009.5,11.6
20,25.6,607.0,7.5
18,15.6,236.0,4.9
22,18.7,366.0,6.7
19,14.2,202.9,7.3
21,17.3,320.4,8.5
14,22.5,422.8,8.3
8,11.5,156.6,10.2
14,19.6,369.1,11.8
26,22.0,528.3,13.6
28,20.1,404.8,12.3
34,29.6,798.0,7.8
34,28.6,651.0,7.3
36,31.8,934.2,16.1
30,32.5,943.5,15.2
36,31.2,886.2,19.2
28,33.0,1009.5,11.6
20,25.6,607.0,7.5
