SD,CF(PCU/min),CF*2(PCU/min),%_of_4W,%_of_4W*2
16,21.78,474.15,12.20,148.72
15,23.91,571.69,7.53,56.65
17,19.47,379.08,24.00,576.00
19,19.13,365.96,6.02,36.29
18,34.03,1158.04,18.18,330.58
23,28.21,795.52,14.78,218.53
16,17.79,316.31,7.61,57.89
22,28.17,793.55,12.38,153.29
19,25.47,648.47,18.48,341.45
19,25.47,648.47,18.48,341.45
17,25.47,648.47,18.48,341.45
16,25.47,648.47,18.48,341.45
19,21.82,475.89,9.41,88.58
15,22.16,491.07,17.95,322.16
20,19.06,363.09,4.29,18.37
15,17.66,311.88,2.33,5.41
17,18.94,358.72,15.00,225.00
17,25.22,636.05,11.54,133.14
15,25.22,636.05,11.54,133.14
15,20.37,414.94,2.22,4.94
19,17.27,298.08,17.72,314.05
17,26.34,693.80,3.03,9.18
16,10.64,113.10,22.22,493.83
17,26.94,725.76,6.90,47.56
23,20.73,429.53,24.00,576.00
18,27.58,760.66,21.15,447.49
16,27.58,760.66,21.15,447.49
16,24.24,587.58,18.37,337.36
17,23.12,534.30,23.08,532.54
16,23.12,534.30,23.08,532.54
15,23.12,534.30,23.08,532.54
18,15.94,254.08,24.53,601.64
16,20.56,422.71,16.67,277.78
18,26.63,709.16,20.41,416.49
19,26.11,681.47,16.82,282.99
18,28.88,834.05,22.94,526.05
25,23.67,560.27,27.38,749.72
18,24.49,599.76,14.58,212.67
15,22.92,525.10,5.95,35.43
22,31.20,973.44,9.91,98.21
21,27.83,774.23,15.53,241.30
22,21.89,478.95,9.18,84.34
20,21.71,471.32,9.89,97.81
19,21.89,478.95,9.18,84.34
15,31.87,1015.38,21.19,448.87
17,19.70,387.89,4.46,19.93
9,13.46,181.17,1.37,1.88
21,17.81,317.20,10.14,102.92
16,18.09,327.07,12.66,160.23
15,21.44,459.46,14.81,219.48
22,28.76,827.14,18.80,353.58
15,21.08,444.16,25.32,640.92
23,16.33,266.51,15.87,251.95
20,16.33,266.51,15.87,251.95
20,16.33,266.51,15.87,251.95
3,17.40,302.76,1.30,1.69
17,22.38,500.86,9.09,82.64
18,25.60,655.10,11.46,131.29
19,20.17,406.63,5.32,28.29
17,19.02,361.57,16.25,264.06
15,20.05,402.00,16.92,286.39
15,22.03,485.10,13.04,170.13
20,10.34,106.92,8.33,69.44
23,25.95,673.14,24.74,612.18
16,20.19,407.43,6.41,41.09
36,13.47,181.31,29.79,887.28
21,24.93,621.26,22.37,500.35
18,24.93,621.26,22.37,500.35
15,24.93,621.26,22.37,500.35
16,14.35,205.92,6.06,36.73
18,16.11,259.37,7.59,57.68
14,29.14,848.85,21.70,470.81
18,18.83,354.57,11.36,129.13
21,38.09,1450.85,10.37,107.54
19,28.70,823.40,10.52,110.73
15,20.51,420.66,15.46,239.13
19,20.77,431.39,20.83,434.03
18,20.77,431.39,20.83,434.03
16,20.77,431.39,20.83,434.03
15,24.80,614.79,16.09,258.95
20,23.27,541.26,12.50,156.25
18,24.14,582.50,3.92,15.38
19,35.52,1261.32,9.85,96.99
15,35.52,1261.32,9.85,96.99
14,33.30,1108.89,15.32,234.78
23,12.85,165.12,16.28,265.01
21,12.85,165.12,16.28,265.01
21,22.86,522.35,3.48,12.10
18,22.86,522.35,3.48,12.10
26,13.77,189.48,23.40,547.76
23,13.77,189.48,23.40,547.76
19,13.77,189.48,23.40,547.76
22,23.26,541.03,22.89,524.02
15,16.87,284.43,6.78,45.96
14,23.43,548.73,11.46,131.29
15,22.78,518.93,15.56,241.98
20,31.82,1012.51,20.90,436.62
18,16.96,287.47,9.30,86.53
19,25.55,652.80,14.55,211.57
17,22.58,509.63,11.70,136.94
17,32.13,1032.34,11.50,132.35
20,18.52,342.81,4.05,16.44
18,23.06,531.76,14.56,212.08
18,28.76,827.14,8.77,76.95
16,19.05,362.90,7.50,56.25
21,34.64,1199.58,9.82,96.46
17,21.88,478.52,4.60,21.14
16,31.00,961.00,7.83,61.25
15,21.88,478.52,4.60,21.14
17,17.62,310.46,3.03,9.18
15,22.07,487.08,15.66,245.32
22,25.16,632.77,10.28,105.69
21,26.88,722.53,11.82,139.67
18,17.50,306.25,5.48,30.02
16,25.16,632.77,10.28,105.69
23,25.64,657.41,23.40,547.76
22,13.33,177.56,9.68,93.65
15,15.88,252.17,9.33,87.11
19,13.68,187.01,3.57,12.76
19,27.38,749.39,14.41,207.78
17,19.24,369.99,4.71,22.15
16,23.14,535.46,13.58,184.42
14,29.34,860.84,8.70,75.61
14,23.08,532.46,8.00,64.00
22,16.66,277.56,8.33,69.44
18,19.22,369.41,9.52,90.70
21,34.12,1163.83,15.17,230.03
20,20.31,412.29,7.61,57.89
17,31.87,1015.38,5.74,32.92
18,29.98,898.50,2.44,5.95
24,23.59,556.49,14.29,204.08
19,19.00,361.00,8.33,69.44
18,19.00,361.00,8.33,69.44
15,31.71,1005.52,5.00,25.00
16,17.50,306.08,7.79,60.72
3,21.31,454.12,2.97,8.82
21,16.48,271.59,8.57,73.47
20,15.57,242.42,8.57,73.47
19,15.57,242.42,8.57,73.47
19,15.57,242.42,8.57,73.47
15,17.71,313.64,11.36,129.13
19,10.24,104.86,12.20,148.72
22,36.83,1356.45,5.79,33.47
17,24.58,604.18,11.30,127.79
14,24.58,604.18,11.30,127.79
19,19.49,379.86,4.65,21.63
19,22.20,492.84,10.68,114.05
18,24.90,620.01,7.96,63.43
17,11.95,142.80,18.18,330.58
16,10.12,102.41,12.50,156.25
15,10.12,102.41,12.50,156.25
15,10.12,102.41,12.50,156.25
16,20.40,415.96,23.61,557.48
15,20.34,413.72,16.47,271.28
15,19.06,363.09,20.83,434.03
22,28.85,832.03,12.80,163.84
15,29.47,868.19,9.77,95.54
15,17.84,318.27,9.33,87.11
