SD,CF(PCU/min),CF*2(PCU/min),%_of_4W,%_of_4W*2
4,18.04,325.44,9.09,82.64
16,22.01,484.44,14.29,204.08
16,24.13,582.02,13.08,171.19
15,13.15,172.79,3.92,15.38
34,34.75,1207.56,15.00,225.00
29,21.99,483.56,21.88,478.65
20,14.39,206.93,2.67,7.11
14,26.30,691.69,1.89,3.56
26,22.95,526.70,11.71,137.16
20,12.02,144.48,15.79,249.31
15,16.97,287.98,16.92,286.39
23,24.50,600.01,25.00,625.00
6,28.87,833.48,7.27,52.89
15,21.71,471.32,9.89,97.81
15,21.44,459.46,14.81,219.48
15,18.09,327.07,12.66,160.23
15,15.85,251.06,0.00,0.00
17,23.47,550.61,15.00,225.00
16,25.60,655.10,11.46,131.29
25,19.63,385.34,12.50,156.25
16,18.44,339.85,5.63,31.74
20,19.39,375.97,12.00,144.00
4,24.60,605.16,7.22,52.08
21,13.77,189.48,18.40,338.72
24,31.09,966.59,12.50,156.25
15,21.14,446.69,18.98,360.17
25,23.88,570.25,17.46,304.86
25,23.06,531.76,14.56,212.08
15,10.78,116.21,13.51,182.62
14,26.50,702.25,16.52,272.97
19,29.46,867.89,10.71,114.80
16,11.54,133.17,5.88,34.60
15,25.64,657.15,4.85,23.56
29,21.09,444.58,20.86,435.25
20,17.13,293.27,6.56,43.00
25,20.72,429.11,14.43,208.31
29,20.71,428.70,19.19,368.26
25,18.91,357.59,14.94,223.28
19,16.25,263.90,21.28,452.69
26,23.75,563.83,15.00,225.00
15.00,13.02,169.39,10.23,104.67
20,20.89,436.39,15.75,247.97
25,12.38,153.26,16.25,264.06
19,19.45,378.30,20.00,400.00
34,22.84,521.67,18.52,342.94
31,26.33,693.27,23.57,555.54
39,27.70,767.01,25.46,648.43
30,17.33,300.16,15.50,240.25
39,30.08,904.81,23.93,572.58
23,20.77,431.39,20.83,434.03
39,33.30,1108.89,15.32,234.78
21,11.44,130.76,17.96,322.67
35,17.16,294.47,19.49,379.97
32,18.66,348.01,24.66,607.99
39,34.04,1158.72,15.04,226.31
23,11.38,129.50,22.95,526.76
32,15.94,253.92,19.84,393.57
36,18.68,348.94,21.25,451.56
38,33.87,1147.18,20.90,436.67
34,33.40,1115.23,19.00,361.00
35,21.88,478.52,20.60,424.27
36,25.64,657.41,23.40,547.76
38,25.78,664.35,15.60,243.43
35,19.33,373.65,23.00,529.00
31,16.61,275.89,20.90,436.62
9,12.81,164.10,9.38,87.89
8,26.67,711.02,12.09,146.12
9,22.69,514.84,12.36,152.76
8,12.33,151.91,3.64,13.22
26,28.12,790.73,21.43,459.18
9,13.03,169.78,11.54,133.14
8,14.42,207.94,6.00,36.00
9,12.41,154.01,13.21,174.44
9,21.62,467.42,3.33,11.11
18,6.42,41.15,2.40,5.74
15,14.32,205.06,2.74,7.51
14,12.90,166.28,11.32,128.16
8,26.33,693.27,3.57,12.76
11,11.22,125.89,7.14,51.02
26,24.00,576.00,24.36,593.36
8,21.58,465.70,12.09,146.12
12,11.27,126.90,10.00,100.00
21,14.11,199.09,4.92,24.19
9,11.80,139.24,14.29,204.08
9,17.52,306.78,5.19,26.99
6,16.59,275.06,3.30,10.90
9,25.87,669.00,15.48,239.51
9,26.95,726.30,11.70,136.94
9,13.75,189.06,6.90,47.56
24,22.36,499.75,21.18,448.44
7,17.78,316.13,6.17,38.10
9,14.88,221.41,4.35,18.90
9,7.96,63.28,8.82,77.85
9,23.78,565.25,11.76,138.41
8,17.84,318.09,11.76,138.41
3,16.47,271.26,8.00,64.00
9,11.47,131.56,8.00,64.00
29,27.38,749.66,18.28,334.18
13,19.38,375.39,9.20,84.56
2,15.93,253.76,8.33,69.44
7,15.96,254.56,11.29,127.47
10,8.10,65.53,15.63,244.14
7,18.52,342.99,8.11,65.74
18,14.55,211.56,4.69,21.97
9,17.99,323.46,9.21,84.83
19,18.45,340.40,6.17,38.10
16,16.03,256.96,14.93,222.77
25,26.46,700.13,13.08,171.01
8,26.08,679.91,6.60,43.61
8,21.86,477.64,13.48,181.80
8,22.15,490.40,9.57,91.67
10,13.13,172.27,5.48,30.02
11,21.78,474.15,12.20,148.72
12,17.16,294.47,0.00,0.00
13,9.52,90.54,2.50,6.25
12,19.21,369.02,0.00,0.00
11,18.76,351.75,15.28,233.41
12,15.96,254.56,11.29,127.47
11,18.02,324.72,9.09,82.64
10,8.82,77.70,7.89,62.33
13,25.22,636.05,11.54,133.14
13,13.15,172.79,3.92,15.38
33,27.24,742.02,19.62,384.76
13,15.46,239.01,13.33,177.78
11,10.74,115.24,9.30,86.53
10,22.26,495.51,0.00,0.00
11,22.41,502.21,4.44,19.75
15,5.00,24.95,0.00,0.00
13,21.51,462.47,6.52,42.53
13,14.32,205.06,2.74,7.51
10,20.22,408.65,4.81,23.11
10,11.22,125.89,7.14,51.02
11,24.03,577.20,2.02,4.08
17,16.84,283.42,16.67,277.78
10,15.00,225.00,11.11,123.46
13,27.06,731.97,11.21,125.78
11,18.89,356.64,2.53,6.41
10,15.32,234.55,6.35,40.31
12,15.61,243.52,8.20,67.19
10,15.15,229.37,10.29,105.97
11,14.51,210.40,5.36,28.70
12,14.19,201.21,12.86,165.31
13,14.52,210.83,12.50,156.25
20,22.36,499.75,21.18,448.44
12,16.57,274.56,5.56,30.86
12,15.55,241.80,3.57,12.76
13,22.59,510.08,6.90,47.56
13,22.59,510.08,6.90,47.56
5,24.60,605.16,7.22,52.08
13,24.14,582.50,3.92,15.38
10,17.16,294.47,4.49,20.18
13,14.47,209.24,3.51,12.31
13,12.94,167.44,14.89,221.82
11,13.27,176.09,12.28,150.82
11,21.88,478.52,4.60,21.14
12,22.83,521.21,13.48,181.80
13,9.44,89.02,5.41,29.22
13,18.02,324.72,0.00,0.00
13,15.03,225.90,0.00,0.00
14,8.10,65.53,15.63,244.14
12,29.34,860.84,8.70,75.61
13,10.26,105.27,4.44,19.75
11,25.41,645.41,9.17,84.17
11,15.47,239.32,6.33,40.06
10,13.81,190.72,5.71,32.65
13,18.78,352.50,10.61,112.49
10,13.16,173.19,0.00,0.00
31,30.80,948.64,18.28,334.18
12,13.30,176.89,3.70,13.72
12,15.23,231.80,5.97,35.64
14,16.62,276.22,15.14,229.37
10,24.79,614.54,9.62,92.46
20,19.11,365.00,24.72,610.93
22,19.105,365.001025,24.71698113,610.9291563
29,16.505,272.415025,24.61538462,605.9171598
19,24.47,598.7809,24.52830189,601.6375934
20,15.745,247.905025,23.91304348,571.8336484
16,23.05,531.3025,23.5971223,556.8241809
17,14.89,221.7121,23.125,534.765625
23,16.96,287.6416,22.22222222,493.8271605
