SD,CF(PCU/min),CF*2(PCU/min),%_of_4W,%_of_4W*2
32,29.0,841,7,49
36,30.7,943,13,174
35,34.6,1198,13,174
34,32.9,1080,15,225
20,30.0,898,3,9
32,30.3,916,6,33
32,28.3,801,13,156
32,22.4,500,12,144
31,30.4,922,16,264
28,27.5,754,9,81
27,18.8,355,7,51
27,29.5,868,11,115
27,24.6,605,17,295
25,25.0,626,8,60
25,26.3,694,7,54
25,25.8,666,8,58
23,21.2,448,9,83
21,8.7,75,7,45
21,26.6,705,12,153
20,20.0,398,9,73
20,23.5,552,11,111
19,20.7,427,6,42
24,22.2,495,12,140
18,9.6,92,6,35
17,7.4,54,7,43
17,25.0,624,7,44
30,18.0,325,9,83
26,8.5,73,13,173
22,17.2,297,16,249
15,12.8,163,6,37
15,10.1,102,2,6
12,14.7,217,5,25
14,6.2,38,0,0
14,18.0,324,6,41
22,15.9,254,14,196
12,23.6,559,4,16
23,21.2,448,9,83
21,8.7,75,7,45
21,26.6,705,12,153
20,20.0,398,9,73
20,23.5,552,11,111
19,20.7,427,6,42
24,22.2,495,12,140
18,9.6,92,6,35
17,7.4,54,7,43
17,25.0,624,7,44
30,18.0,325,9,83
26,8.5,73,13,173
22,17.2,297,16,249
15,12.8,163,6,37
15,10.1,102,2,6
