SD,CF(PCU/min),CF*2(PCU/min),%_of_2W,%_of_3W,%_of_4W
10,11.2,125.0,70.8,20.8,8.3
7,26.0,677.0,56.1,17.1,17.1
4,17.8,315.1,60.6,27.3,9.1
7,18.9,356.1,62.2,32.4,5.4
9,18.9,356.1,62.2,32.4,5.4
10,18.9,356.1,62.2,32.4,5.4
13,18.9,356.1,62.2,32.4,5.4
16,18.9,356.1,62.2,32.4,5.4
17,17.3,297.9,70.6,11.8,14.7
18,17.3,297.9,70.6,11.8,14.7
7,22.2,494.6,63.4,19.5,14.6
10,24.9,621.5,65.3,22.4,10.2
10,24.9,621.5,65.3,22.4,10.2
17,24.9,621.5,65.3,22.4,10.2
6,22.0,482.7,66.7,21.4,7.1
7,22.0,482.7,66.7,21.4,7.1
7,22.0,482.7,66.7,21.4,7.1
9,22.0,482.7,66.7,21.4,7.1
7,17.7,314.7,68.4,31.6,0.0
8,19.3,372.9,63.2,28.9,7.9
12,25.6,653.3,46.3,31.7,22.0
12,23.8,565.0,67.3,24.5,8.2
14,21.4,458.4,51.4,37.8,10.8
15,19.3,372.9,63.2,28.9,7.9
16,25.6,653.3,46.3,31.7,22.0
18,21.4,458.4,51.4,37.8,10.8
29,25.6,653.3,46.3,31.7,22.0
30,35.6,1264.5,46.3,31.7,22.0
8,19.9,396.8,68.3,24.4,4.9
10,25.1,627.5,62.5,27.1,8.3
19,19.2,369.0,70.7,24.4,2.4
25,25.1,627.5,62.5,27.1,8.3
10,21.2,448.6,69.6,30.4,0.0
9,20.9,436.8,68.2,27.3,4.5
10,27.9,776.7,61.1,33.3,5.6
12,23.5,551.8,70.6,25.5,3.9
13,24.4,593.4,63.0,23.9,8.7
15,24.5,599.3,65.3,28.6,4.1
11,20.2,408.4,69.0,23.8,4.8
15,21.8,475.2,62.5,22.5,12.5
12,27.6,760.7,62.7,19.6,15.7
19,27.6,760.7,62.7,19.6,15.7
20,27.6,760.7,62.7,19.6,15.7
11,24.4,597.3,51.2,41.5,4.9
5,19.3,373.3,62.2,24.3,13.5
9,18.9,358.0,70.0,20.0,10.0
21,29.9,892.8,66.1,16.1,12.5
6,18.5,342.3,60.6,24.2,12.1
8,21.9,478.3,57.5,30.0,12.5
9,18.5,342.3,60.6,24.2,12.1
16,20.9,435.6,59.0,30.8,10.3
5,15.0,223.5,69.0,17.2,10.3
5,18.7,349.3,70.3,13.5,13.5
8,18.7,349.3,70.3,13.5,13.5
13,14.5,210.5,80.6,16.7,2.8
5,21.1,443.5,67.4,25.6,4.7
8,21.1,443.5,67.4,25.6,4.7
8,20.3,412.9,60.5,23.7,15.8
26,22.0,485.8,61.9,23.8,14.3
9,19.8,393.6,73.8,21.4,0.0
11,22.8,518.0,64.4,24.4,11.1
21,21.6,466.6,66.7,31.1,2.2
13,21.0,440.2,72.7,18.2,6.8
9,21.4,459.2,56.4,33.3,10.3
20,17.1,292.1,77.5,15.0,7.5
15,17.6,310.1,66.7,25.0,8.3
5,13.8,190.4,83.3,16.7,0.0
23,18.6,344.8,54.5,39.4,3.0
10,26.4,698.0,64.7,25.5,7.8
29,30.3,915.7,50.7,28.6,18.9
8,22.2,493.3,60.0,27.5,10.0
15,30.3,917.5,51.0,41.2,5.9
4,15.6,242.7,84.2,10.5,2.6
7,20.3,410.5,75.6,13.3,8.9
8,15.6,242.7,84.2,10.5,2.6
14,16.2,262.1,72.2,25.0,2.8
15,16.2,262.1,72.2,25.0,2.8
