SD,CF(PCU/min),CF*2(PCU/min),%_of_2W,%_of_3W,%_of_4W
15,22.3,495.06,68.2,11.4,18.2
9,2.5,6.15,57.9,21.1,18.4
23,22.0,482.68,66.7,21.4,7.1
10,18.5,341.14,70.0,27.5,2.5
6,17.7,314.71,68.4,31.6,0.0
9,17.7,314.71,68.4,31.6,0.0
12,17.7,314.71,68.4,31.6,0.0
23,26.9,724.15,53.3,28.9,11.1
32,26.9,724.15,53.3,28.9,11.1
33,26.9,724.15,53.3,28.9,11.1
10,5.1,25.50,62.5,27.1,8.3
11,20.5,419.02,60.5,26.3,10.5
18,21.8,475.24,62.5,22.5,12.5
10,15.0,223.50,69.0,17.2,10.3
12,21.9,479.61,83.3,13.0,1.9
21,15.8,250.59,86.0,14.0,0.0
12,15.2,230.13,62.1,24.1,13.8
13,21.2,447.75,75.6,17.8,0.0
22,16.7,278.22,75.0,19.4,2.8
25,19.5,381.42,50.0,47.1,2.9
7,2.2,4.93,70.2,19.1,10.6
20,26.6,709.16,67.3,25.5,7.3
27,24.5,601.23,56.1,31.7,7.3
12,16.1,257.92,53.8,30.8,7.7
15,16.1,257.92,53.8,30.8,7.7
26,28.3,799.76,67.3,20.0,9.1
7,2.5,6.45,73.5,16.3,8.2
18,18.3,334.16,78.0,14.6,4.9
15,22.0,483.12,75.5,10.2,14.3
3,2.0,3.92,75.5,10.2,14.3
28,30.6,934.52,65.5,25.9,5.2
17,27.7,765.63,67.9,26.8,3.6
17,26.7,710.22,70.2,22.8,7.0
16,18.8,354.95,75.6,17.1,4.9
14,24.6,604.18,52.4,33.3,11.9
11,16.5,273.24,75.0,22.2,0.0
33,25.6,655.36,61.2,32.7,4.1
11,25.3,640.60,60.4,33.3,4.2
11,21.2,448.17,59.0,25.6,15.4
13,15.3,235.32,74.3,22.9,2.9
26,30.5,930.86,60.7,30.4,5.4
22,29.5,869.66,58.5,34.0,3.8
14,21.3,454.97,74.4,11.6,4.7
17,18.1,327.61,51.7,31.0,10.3
25,20.7,427.66,67.5,17.5,12.5
23,24.8,612.56,62.5,27.1,10.4
24,28.0,786.24,64.3,32.1,1.8
17,14.3,205.06,64.3,21.4,14.3
20,18.0,322.92,67.6,17.6,8.8
20,12.0,144.00,50.0,30.0,20.0
9,10.7,115.35,57.9,15.8,26.3
23,15.7,247.43,66.7,33.3,0.0
32,23.6,556.49,61.5,26.9,11.5
14,13.6,184.69,61.5,26.9,11.5
11,10.2,104.24,79.2,8.3,12.5
9,9.5,90.06,84.0,16.0,0.0
10,9.5,90.06,84.0,16.0,0.0
11,9.5,90.06,84.0,16.0,0.0
13,13.5,181.17,58.3,25.0,12.5
17,13.5,181.17,58.3,25.0,12.5
27,19.6,383.38,51.5,33.3,12.1
8,17.1,290.70,62.5,21.9,12.5
8,9.6,92.16,71.4,23.8,4.8
16,15.4,236.24,64.3,10.7,17.9
8,13.6,184.42,63.0,33.3,3.7
7,11.6,133.63,85.7,7.1,3.6
12,10.9,119.03,76.0,16.0,8.0
13,18.9,357.97,56.3,31.3,6.3
13,18.9,357.97,56.3,31.3,6.3
14,18.9,357.97,56.3,31.3,6.3
9,12.0,144.00,62.5,37.5,0.0
27,24.9,620.51,72.7,21.2,6.1
22,14.9,222.31,72.7,21.2,6.1
8,14.6,213.45,65.5,20.7,13.8
16,13.6,185.78,73.3,16.7,10.0
9,10.9,119.25,75.0,8.3,16.7
8,18.5,341.51,69.2,23.1,7.7
12,18.8,353.82,50.0,17.9,21.4
6,14.5,208.80,66.7,30.0,3.3
8,14.5,208.80,66.7,30.0,3.3
11,17.4,301.02,53.6,28.6,10.7
28,22.7,516.65,61.4,31.8,6.8
14,17.3,299.98,65.7,25.7,8.6
16,17.3,299.98,65.7,25.7,8.6
7,19.7,389.27,65.9,34.1,0.0
11,18.6,346.33,70.7,29.3,0.0
12,17.2,296.87,66.7,21.2,9.1
12,17.3,300.68,70.3,21.6,8.1
10,11.1,122.99,86.7,10.0,3.3
1,17.5,305.20,65.7,22.9,11.4
9,15.3,235.32,59.3,29.6,7.4
13,15.3,235.32,59.3,29.6,7.4
11,17.3,298.94,53.3,30.0,16.7
27,19.1,364.81,46.9,46.9,6.3
10,15.7,247.43,66.7,33.3,0.0
12,12.1,145.44,80.0,20.0,0.0
7,14.1,199.94,59.3,37.0,3.7
10,11.2,124.77,72.0,28.0,0.0
8,8.3,68.72,64.7,35.3,0.0
9,12.2,148.84,74.1,14.8,11.1
10,16.1,260.18,56.7,40.0,3.3
10,15.0,223.80,85.0,15.0,0.0
9,14.8,218.45,63.0,25.9,7.4
11,14.8,218.45,63.0,25.9,7.4
12,11.1,123.43,90.6,6.3,3.1
10,15.5,241.49,76.5,17.6,2.9
9,12.5,155.50,69.2,19.2,11.5
5,9.3,86.68,70.0,25.0,5.0
10,15.9,251.22,53.6,35.7,10.7
10,16.7,279.89,64.7,32.4,2.9
18,17.0,290.02,64.7,26.5,8.8
9,16.9,285.95,68.6,20.0,11.4
7,11.8,139.48,82.8,3.4,13.8
7,11.9,141.37,66.7,20.8,12.5
11,11.9,141.37,66.7,20.8,12.5
14,11.9,141.37,66.7,20.8,12.5
6,11.9,140.66,60.9,34.8,4.3
7,11.9,140.66,60.9,34.8,4.3
11,18.2,330.51,69.2,28.2,2.6
15,18.2,330.51,69.2,28.2,2.6
11,17.2,295.15,71.1,28.9,0.0
15,12.2,148.60,66.7,12.5,20.8
17,12.2,148.60,66.7,12.5,20.8
13,18.9,355.70,55.9,32.4,11.8
8,10.5,110.04,80.8,15.4,3.8
8,10.5,110.04,80.8,15.4,3.8
9,10.5,110.04,80.8,15.4,3.8
7,16.3,265.69,62.5,31.3,6.3
7,13.4,178.22,78.1,18.8,3.1
10,13.8,189.34,75.0,25.0,0.0
15,12.5,156.00,66.7,29.2,0.0
8,11.7,135.96,76.0,20.0,0.0
17,11.7,135.96,76.0,20.0,0.0
10,20.7,429.32,59.0,33.3,7.7
8,12.3,152.28,75.0,17.9,7.1
5,12.5,156.50,80.0,10.0,10.0
8,17.0,289.34,59.4,31.3,9.4
12,14.8,217.86,65.5,17.2,17.2
11,14.5,209.67,71.0,19.4,9.7
17,14.5,209.67,71.0,19.4,9.7
16,14.7,216.38,53.8,34.6,11.5
14,11.6,134.56,65.2,21.7,13.0
16,11.6,134.56,65.2,21.7,13.0
10,15.4,238.39,57.1,28.6,14.3
12,13.0,169.52,56.5,21.7,21.7
16,19.3,373.65,53.1,31.3,12.5
17,19.3,373.65,53.1,31.3,12.5
19,19.3,373.65,53.1,31.3,12.5
25,19.3,373.65,53.1,31.3,12.5
25,19.3,373.65,53.1,31.3,12.5
11,13.9,192.65,63.0,25.9,11.1
14,13.3,177.42,66.7,22.2,11.1
28,27.1,736.04,57.1,42.9,0.0
29,26.1,682.78,57.1,42.9,0.0
27,23.4,548.03,80.0,10.0,6.7
13,12.8,163.84,80.6,9.7,9.7
20,20.1,404.41,70.7,19.5,7.3
11,21.1,444.79,56.8,32.4,8.1
13,21.1,444.79,56.8,32.4,8.1
10,20.7,426.42,69.8,16.3,14.0
12,16.7,277.56,76.3,13.2,10.5
10,15.9,253.13,70.6,20.6,8.8
12,15.9,253.13,70.6,20.6,8.8
11,12.5,157.25,88.6,8.6,2.9
8,14.1,198.25,79.4,14.7,5.9
9,13.6,186.05,78.8,18.2,3.0
10,13.6,186.05,78.8,18.2,3.0
25,18.3,336.36,62.5,22.5,12.5
21,17.3,299.98,75.7,10.8,10.8
7,15.3,234.09,64.5,32.3,3.2
23,25.5,648.72,59.6,23.4,17.0
28,25.5,648.72,59.6,23.4,17.0
14,22.4,499.97,65.9,15.9,18.2
18,22.4,499.97,65.9,15.9,18.2
8,18.0,324.36,57.6,30.3,12.1
9,18.0,324.36,57.6,30.3,12.1
11,13.5,181.71,73.3,20.0,6.7
2,12.6,158.76,62.5,20.8,16.7
12,18.8,353.44,73.2,14.6,12.2
13,18.8,353.44,73.2,14.6,12.2
22,21.5,463.11,66.7,23.8,7.1
10,16.4,267.65,76.3,18.4,5.3
13,8.9,79.92,77.5,14.2,8.3
24,26.6,704.90,38.5,46.2,15.4
23,17.9,319.69,62.9,28.6,8.6
13,16.0,256.32,51.9,25.9,22.2
19,16.0,256.32,51.9,25.9,22.2
20,16.0,256.32,51.9,25.9,22.2
23,16.0,256.32,51.9,25.9,22.2
24,18.7,349.69,62.5,18.8,12.5
24,18.7,349.69,62.5,18.8,12.5
26,18.7,349.69,62.5,18.8,12.5
28,18.7,349.69,62.5,18.8,12.5
21,18.3,333.06,79.5,13.6,6.8
21,18.3,333.06,79.5,13.6,6.8
22,18.3,333.06,79.5,13.6,6.8
15,18.3,335.62,63.9,25.0,11.1
18,18.3,335.62,63.9,25.0,11.1
12,15.8,248.69,69.7,18.2,12.1
16,13.4,179.29,75.0,14.3,7.1
16,13.4,179.29,75.0,14.3,7.1
14,12.8,164.10,85.3,11.8,2.9
14,12.8,164.10,85.3,11.8,2.9
14,15.4,235.93,78.4,18.9,2.7
9,14.4,207.07,83.8,10.8,5.4
11,19.1,363.28,70.7,22.0,7.3
12,19.1,363.28,70.7,22.0,7.3
11,14.5,209.96,76.5,20.6,2.9
12,14.5,209.96,76.5,20.6,2.9
23,14.5,209.96,76.5,20.6,2.9
20,14.4,206.50,80.0,14.3,5.7
21,14.4,206.50,80.0,14.3,5.7
12,20.2,408.04,57.1,28.6,11.4
16,20.2,408.04,57.1,28.6,11.4
20,20.2,408.04,57.1,28.6,11.4
23,20.2,408.04,57.1,28.6,11.4
7,17.9,319.34,63.9,33.3,2.8
10,17.9,319.34,63.9,33.3,2.8
12,12.5,155.25,60.9,26.1,8.7
16,12.5,155.25,60.9,26.1,8.7
17,12.5,155.25,60.9,26.1,8.7
17,12.7,160.28,73.1,19.2,3.8
12,13.3,176.89,60.0,28.0,12.0
20,19.2,368.64,58.8,29.4,8.8
21,16.1,257.92,70.6,17.6,11.8
12,21.0,440.16,48.6,37.1,14.3
15,15.8,248.06,55.6,37.0,3.7
19,10.3,106.71,73.9,17.4,8.7
20,10.3,106.71,73.9,17.4,8.7
25,20.7,428.90,57.6,30.3,3.0
23,16.5,272.58,76.3,21.1,0.0
24,16.5,272.58,76.3,21.1,0.0
15,13.1,170.82,76.7,13.3,10.0
12,17.7,314.71,61.8,26.5,11.8
13,17.7,314.71,61.8,26.5,11.8
14,17.7,314.35,62.9,31.4,5.7
20,17.7,314.35,62.9,31.4,5.7
21,17.7,314.35,62.9,31.4,5.7
22,17.7,314.35,62.9,31.4,5.7
22,15.6,242.74,58.6,31.0,10.3
18,12.9,166.15,64.0,20.0,16.0
19,12.9,166.15,64.0,20.0,16.0
22,12.9,166.15,64.0,20.0,16.0
4,7.7,59.91,61.8,26.5,11.8
24,20.7,428.49,54.1,37.8,8.1
13,22.6,511.66,50.0,27.8,19.4
15,22.6,511.66,50.0,27.8,19.4
10,2.6,6.86,50.0,27.8,19.4
35,29.7,879.72,58.9,37.4,3.7
20,21.2,450.71,65.9,29.3,0.0
24,21.2,450.71,65.9,29.3,0.0
26,21.2,450.71,65.9,29.3,0.0
26,21.2,450.71,65.9,29.3,0.0
11,19.8,390.46,69.0,26.2,4.8
8,15.1,227.71,81.6,15.8,2.6
17,17.9,321.84,75.6,17.1,7.3
20,13.1,171.87,80.0,16.7,0.0
24,13.1,171.87,80.0,16.7,0.0
13,16.8,280.56,69.4,27.8,2.8
6,13.8,189.61,74.2,19.4,6.5
14,19.1,364.43,78.3,19.6,2.2
22,19.1,364.43,78.3,19.6,2.2
24,17.8,315.42,72.5,27.5,0.0
12,16.7,277.22,76.9,17.9,5.1
17,16.7,277.22,76.9,17.9,5.1
17,12.8,162.82,70.4,18.5,11.1
21,12.8,162.82,70.4,18.5,11.1
14,10.1,101.61,84.6,7.7,7.7
27,27.4,748.02,60.0,30.0,8.0
18,20.6,425.18,66.7,23.8,9.5
33,24.1,582.74,56.2,29.5,4.8
12,17.3,299.98,65.7,25.7,8.6
18,11.1,124.10,76.2,9.5,4.8
15,25.6,656.90,64.0,26.0,8.0
23,25.6,656.90,64.0,26.0,8.0
14,6.3,39.94,81.3,18.8,0.0
10,15.0,223.50,81.1,13.5,5.4
15,15.0,223.50,81.1,13.5,5.4
19,15.0,223.50,81.1,13.5,5.4
16,13.4,178.76,76.7,6.7,16.7
20,13.4,178.76,76.7,6.7,16.7
17,15.5,239.63,60.7,10.7,28.6
22,15.5,239.63,60.7,10.7,28.6
23,15.5,239.63,60.7,10.7,28.6
14,10.9,118.59,69.6,21.7,8.7
15,17.4,304.15,61.8,32.4,5.9
16,9.6,92.35,70.0,15.0,15.0
19,9.6,92.35,70.0,15.0,15.0
29,27.5,757.90,73.0,21.6,2.7
25,21.5,462.68,67.4,27.9,2.3
26,21.5,462.68,67.4,27.9,2.3
29,21.5,462.68,67.4,27.9,2.3
21,17.5,307.30,73.0,21.6,2.7
29,17.5,307.30,73.0,21.6,2.7
11,16.2,262.76,63.3,26.7,6.7
35,27.6,760.10,56.3,34.4,9.4
27,25.0,625.50,63.6,31.8,4.5
31,21.0,441.42,63.6,31.8,4.5
27,18.6,345.22,61.1,33.3,5.6
16,17.6,308.70,56.3,34.4,9.4
25,17.6,308.70,56.3,34.4,9.4
16,11.0,121.22,63.6,31.8,4.5
21,20.5,418.20,62.5,30.0,7.5
25,20.5,418.20,62.5,30.0,7.5
16,19.6,384.16,64.1,28.2,7.7
27,17.6,308.35,76.3,13.2,7.9
18,16.2,262.44,71.4,20.0,8.6
30,28.1,789.61,53.3,33.3,13.3
7,16.7,280.23,81.6,2.6,13.2
21,16.7,280.23,51.6,32.6,13.2
11,12.1,146.41,83.3,3.3,13.3
33,22.9,523.04,56.5,34.8,4.3
12,17.8,317.91,53.1,43.8,3.1
19,17.8,317.91,53.1,43.8,3.1
20,17.8,317.91,53.1,43.8,3.1
28,17.8,317.91,53.1,43.8,3.1
17,9.9,98.41,78.3,8.7,13.0
10,11.2,125.44,76.9,15.4,7.7
16,23.2,536.39,61.5,15.4,15.4
11,19.6,382.20,51.7,34.5,3.4
26,16.8,280.90,61.3,35.5,0.0
9,15.0,225.90,68.8,28.1,3.1
9,4.6,21.34,92.9,7.1,0.0
13,7.9,62.73,85.7,9.5,4.8
8,13.8,190.16,78.8,15.2,6.1
11,13.8,190.16,78.8,15.2,6.1
13,11.5,131.56,47.1,41.2,0.0
15,11.5,131.56,47.1,41.2,0.0
16,11.5,131.56,47.1,41.2,0.0
22,13.2,174.24,50.0,30.0,10.0
12,22.4,503.55,58.3,25.0,8.3
