SD,CF(PCU/min),CF*2(PCU/min),%_of_2W,%_of_3W,%_of_4W
20,12.0,144.0,50.0,30.0,20.0
12,12.0,144.0,50.0,30.0,20.0
7,17.0,287.3,83.3,6.7,10.0
20,15.4,236.2,64.3,10.7,17.9
15,12.5,155.3,70.4,25.9,3.7
8,14.9,222.3,72.7,21.2,6.1
31,24.5,598.8,59.6,23.4,17.0
22,18.7,349.7,62.5,18.8,12.5
16,21.4,458.0,78.4,15.7,5.9
30,20.2,408.0,57.1,28.6,11.4
12,13.3,176.9,60.0,28.0,12.0
16,13.9,193.5,75.0,21.9,3.1
34,25.6,656.9,64.0,26.0,8.0
23,23.8,567.9,53.1,43.8,3.1
21,10.0,99.0,89.3,7.1,3.6
32,21.9,477.9,81.5,11.1,7.4
17,7.7,59.3,83.3,0.0,12.5
10,17.9,321.8,78.8,12.1,9.1
34,26.8,717.2,57.4,14.9,27.7
13,16.4,267.6,53.8,7.7,30.8
35,17.3,298.3,74.2,6.5,6.5
12,5.9,34.8,76.9,0.0,23.1
23,17.7,311.5,68.2,15.9,15.9
15,18.1,326.5,65.7,11.4,22.9
14,19.2,370.2,68.4,5.3,26.3
21,16.0,256.0,65.4,16.7,17.6
0,12.0,144.0,50.0,30.0,20.0
12,12.0,144.0,50.0,30.0,20.0
7,17.0,287.3,83.3,6.7,10.0
20,15.4,236.2,64.3,10.7,17.9
15,12.5,155.3,70.4,25.9,3.7
8,14.9,222.3,72.7,21.2,6.1
31,24.5,598.8,59.6,23.4,17.0
22,18.7,349.7,62.5,18.8,12.5
16,21.4,458.0,78.4,15.7,5.9
30,20.2,408.0,57.1,28.6,11.4
12,13.3,176.9,60.0,28.0,12.0
16,13.9,193.5,75.0,21.9,3.1
34,25.6,656.9,64.0,26.0,8.0
23,23.8,567.9,53.1,43.8,3.1
21,10.0,99.0,89.3,7.1,3.6
32,21.9,477.9,81.5,11.1,7.4
17,7.7,59.3,83.3,0.0,12.5
10,17.9,321.8,78.8,12.1,9.1
34,26.8,717.2,57.4,14.9,27.7
13,16.4,267.6,53.8,7.7,30.8
15,17.3,298.3,74.2,6.5,6.5
12,5.9,34.8,76.9,0.0,23.1
23,17.7,311.5,68.2,15.9,15.9
15,18.1,326.5,65.7,11.4,22.9
14,19.2,370.2,68.4,5.3,26.3
11,16.0,256.0,65.4,16.7,17.6


