SD,CF(PCU/min),CF*2(PCU/min),%_of_2W,%_of_3W,%_of_4W
3,10.6,112.78,75.0,16.7,8.3
3,10.5,110.46,85.7,10.7,3.6
4,8.5,72.25,87.0,8.7,4.3
5,5.8,33.41,94.4,5.6,0.0
7,12.7,160.28,85.3,14.7,0.0
8,11.2,125.89,56.5,13.0,26.1
8,10.3,106.92,75.0,17.9,7.1
12,25.5,650.76,55.8,30.2,7.0
12,11.1,123.88,57.1,35.9,0.0
12,6.7,44.22,76.9,7.7,7.7
12,27.2,738.21,57.1,26.5,16.3
13,21.2,450.29,66.7,28.6,2.4
13,16.8,282.91,80.5,12.2,7.3
13,20.4,414.53,63.2,26.3,7.9
14,12.5,156.00,66.7,4.2,26.2
14,23.7,559.32,74.1,24.1,1.9
14,30.0,899.40,56.4,36.4,7.3
15,23.4,548.96,60.0,35.6,4.4
15,16.7,277.56,70.6,5.9,23.5
15,17.1,290.70,62.5,21.9,12.5
15,17.7,311.88,74.4,12.8,12.8
16,26.2,687.49,64.7,29.4,3.9
16,13.9,194.04,73.3,10.0,16.7
16,20.3,410.87,75.0,18.2,4.5
17,12.2,148.60,66.7,12.5,20.8
17,10.6,112.57,76.0,24.0,0.0
17,18.0,322.92,82.6,15.2,2.2
18,28.8,830.59,66.7,19.0,11.9
18,15.2,231.34,72.7,15.2,12.1
18,16.6,274.23,82.9,4.9,12.2
19,23.0,529.46,50.0,26.3,23.7
19,21.6,464.83,63.2,21.1,5.3
21,12.9,165.64,56.5,34.8,4.3
22,18.3,336.36,77.5,7.5,12.5
22,27.8,773.40,75.0,19.2,5.8
24,26.4,694.85,69.6,23.2,7.1
24,18.9,357.97,56.3,31.3,6.3
26,27.7,766.18,57.4,27.7,10.6
27,26.0,677.04,56.1,17.1,17.1
27,18.9,355.70,55.9,32.4,11.8
27,17.9,319.69,62.9,28.6,8.6
28,30.2,910.23,58.9,28.6,12.5
28,16.0,256.64,60.0,26.7,13.3
29,21.0,438.90,86.2,6.9,20.9
29,25.7,658.44,65.5,17.2,13.8
30,17.2,294.47,59.4,28.1,12.5
31,14.5,210.83,80.0,11.4,8.6
32,20.7,427.25,73.3,13.3,13.3
33,30.0,901.80,100.0,30.0,10.0
33,26.6,707.56,88.2,21.0,8.8
33,24.4,592.92,68.6,23.5,7.8
34,29.0,841.58,63.6,31.8,14.5
15,12.5,155.3,70.4,25.9,3.7
8,14.9,222.3,72.7,21.2,6.1
31,24.5,598.8,59.6,23.4,17.0
22,18.7,349.7,62.5,18.8,12.5
16,21.4,458.0,78.4,15.7,5.9
30,20.2,408.0,57.1,28.6,11.4
12,13.3,176.9,60.0,28.0,12.0
16,13.9,193.5,75.0,21.9,3.1
34,25.6,656.9,64.0,26.0,8.0
23,23.8,567.9,53.1,43.8,3.1
21,10.0,99.0,89.3,7.1,3.6
32,21.9,477.9,81.5,11.1,7.4
17,7.7,59.3,83.3,0.0,12.5
10,17.9,321.8,78.8,12.1,9.1
34,26.8,717.2,57.4,14.9,27.7
13,16.4,267.6,53.8,7.7,30.8
15,17.3,298.3,74.2,6.5,6.5
12,5.9,34.8,76.9,0.0,23.1
23,17.7,311.5,68.2,15.9,15.9
15,18.1,326.5,65.7,11.4,22.9
14,19.2,370.2,68.4,5.3,26.3
11,16.0,256.0,65.4,16.7,17.6
