SD,CF(PCU/min),CF*2(PCU/min),%_of_4W,%_of_4W*2
1,5.36,28.7296,0.333333333,0.111111111
3,8.54,72.9316,8.823529412,77.85467128
3,6.44,41.4736,1.818181818,3.305785124
3,11.95,142.8025,1.818181818,3.305785124
3,8.26,68.2276,0,0
3,9.09,82.6281,1.904761905,3.628117914
4,8.63,74.4769,1.256410256,1.578566732
4,15.27,233.1729,1.256410256,1.578566732
4,11.75,138.0625,8,64
4,12.36,152.7696,6.666666667,44.44444444
4,11.54,133.1716,2.5,6.25
4,17.42,303.4564,6.25,39.0625
4,14.92,222.6064,4.651162791,21.63331531
4,5.79,33.5241,3.773584906,14.23994304
4,13.7,187.69,1.960784314,3.844675125
4,21.1,445.21,1.960784314,3.844675125
4,15.27,233.1729,1.256410256,1.578566732
4,12.89,166.1521,0,0
4,17.12,293.0944,4.87804878,23.7953599
5,22.53,507.6009,10.81081081,116.8736304
5,4.9,24.01,5.084745763,25.85463947
5,15.68,245.8624,0,0
5,4.16,17.3056,4.347826087,18.90359168
5,3.79,14.3641,3.773584906,14.23994304
5,20.73,429.7329,2.380952381,5.66893424
5,12.61,159.0121,7.407407407,54.8696845
9,27.98,782.8804,23.63636364,558.677686
9,25.45,647.7025,17.77777778,316.0493827
9,26.05,678.6025,14.63414634,214.1582391
9,20.95,438.9025,12.82051282,164.365549
9,27.74,769.5076,12.24489796,149.937526
9,16.35,267.3225,11.42857143,130.6122449
9,27.44,752.9536,11.36363636,129.1322314
9,21.14,446.8996,10.52631579,110.8033241
9,27.63,763.4169,8.928571429,79.71938776
9,4.77,22.7529,7.142857143,51.02040816
9,11.24,126.3376,6.666666667,44.44444444
9,22.67,513.9289,20.58823529,423.8754325
9,21.59,466.1281,18.42105263,339.3351801
9,28.54,814.5316,15.25423729,232.6917552
9,13.65,186.3225,14.28571429,204.0816327
9,17.99,323.6401,12.90322581,166.4932362
9,14.36,206.2096,12.5,156.25
9,11.51,132.4801,12,144
9,19.15,366.7225,11.42857143,130.6122449
9,15.87,251.8569,10,100
9,20.89,436.3921,9.756097561,95.18143962
9,15.33,235.0089,9.375,87.890625
9,12.36,152.7696,6.666666667,44.44444444
9,16.86,284.2596,6.25,39.0625
9,27.81,773.3961,6.25,39.0625
9,6.22,38.6884,5.263157895,27.70083102
9,25.96,673.9216,4.347826087,18.90359168
9,9.1,82.81,3.703703704,13.71742112
9,11.47,131.5609,8,64
9,10.4,108.16,0,0
10,17.38,302.0644,18.91891892,357.9254931
10,15.94,254.0836,14.28571429,204.0816327
10,14.36,206.2096,12.5,156.25
10,10.06,101.2036,8.333333333,69.44444444
10,5.91,34.9281,6.25,39.0625
10,6.92,47.8864,6.25,39.0625
10,15.05,226.5025,16.66666667,277.7777778
10,20.61,424.7721,15.38461538,236.6863905
10,17.35,301.0225,13.88888889,192.9012346
10,19.82,392.8324,12.5,156.25
10,10.31,106.2961,9.523809524,90.70294785
10,10.06,101.2036,8.333333333,69.44444444
10,30.79,948.0241,3.773584906,14.23994304
10,14.65,214.6225,3.448275862,11.89060642
10,12.5,156.25,3.225806452,10.40582726
10,12.5,156.25,3.225806452,10.40582726
10,14.2,201.64,3.03030303,9.182736455
10,28.19,794.6761,2.040816327,4.164931279
10,21.02,441.8404,12.82051282,164.365549
10,25.56,653.3136,2.040816327,4.164931279
10,19.6,384.16,11.42857143,130.6122449
10,17.33,300.3289,5.882352941,34.60207612
10,14.93,222.9049,5.714285714,32.65306122
10,23.17,536.8489,6.52173913,42.53308129
10,26.44,699.0736,15.09433962,227.8390886
10,27.11,734.9521,3.571428571,12.75510204
10,19.72,388.8784,17.64705882,311.4186851
10,11.29,127.4641,15,225
10,11.29,127.4641,15,225
10,27.74,769.5076,12.24489796,149.937526
