SD,CF(PCU/min),CF*2(PCU/min),%_of_2W,%_of_3W,%_of_4W
7,8.94,79.92,94.12,0.00,0.00
8,11.86,140.66,81.48,11.11,7.41
9,2.48,6.15,68.57,11.43,14.29
10,13.52,182.79,57.50,32.50,5.00
10,4.77,22.75,92.86,0.00,7.14
10,10.61,112.57,76.00,24.00,0.00
12,15.30,234.09,60.00,28.00,12.00
13,18.78,352.69,57.45,14.89,10.66
14,19.24,370.18,68.42,5.26,12.32
14,13.14,172.66,88.57,2.86,5.71
25,16.91,285.95,53.33,28.89,15.56
15,18.07,326.52,65.71,11.43,14.86
15,10.51,110.46,64.44,26.67,6.67
15,16.13,260.18,82.05,7.69,7.69
15,12.46,155.25,70.37,25.93,3.70
17,13.52,182.79,82.35,11.76,5.88
19,21.42,458.82,50.00,33.33,16.67
20,15.37,236.24,64.29,10.71,17.86
21,20.20,408.04,57.14,28.57,11.43
21,25.47,648.72,59.57,23.40,17.02
22,18.70,349.69,62.50,18.75,12.50
22,11.65,135.72,68.18,15.91,15.91
23,10.83,117.29,53.13,43.75,13.13
24,23.91,571.69,75.00,21.88,15.13
26,18.00,324.00,65.41,16.69,17.60
11,5.63,31.70,64.00,26.00,8.00
28,22.60,510.76,65.22,30.43,17.35
23,16.29,265.36,55.17,31.03,13.79
15,16.13,260.18,82.05,7.69,7.69
15,12.46,155.25,70.37,25.93,3.70
17,13.52,182.79,82.35,11.76,5.88
19,21.42,458.82,50.00,33.33,16.67
20,15.37,236.24,64.29,10.71,17.86
21,20.20,408.04,57.14,28.57,11.43
21,25.47,648.72,59.57,23.40,17.02
22,18.70,349.69,62.50,18.75,12.50
22,11.65,135.72,68.18,15.91,15.91
23,10.83,117.29,53.13,43.75,13.13
24,23.91,571.69,75.00,21.88,15.13
26,18.00,324.00,65.41,16.69,17.60
