SD,CF(PCU/min),CF*2(PCU/min),%_of_2W,%_of_3W,%_of_4W
37,30.79,948.02,49.06,37.17,13.77
37,30.25,915.06,52.27,34.09,13.64
36,32.63,1064.72,64.00,16.00,18.00
36,34.62,1198.54,67.65,20.59,11.76
35,36.28,1316.24,81.48,11.11,7.41
35,23.17,536.85,71.74,17.39,6.52
34,18.07,326.52,65.71,11.43,21.86
34,34.22,1171.01,56.52,13.04,21.09
34,26.91,724.15,53.33,28.89,15.56
34,36.30,1317.69,80.00,28.00,12.00
34,32.49,1055.60,66.67,14.17,22.17
33,28.93,836.94,60.38,32.08,3.77
33,17.83,317.91,53.13,43.75,3.13
32,31.50,992.25,66.96,8.70,4.35
32,30.66,940.04,74.36,12.82,12.82
32,26.84,720.39,54.17,37.50,8.33
31,18.70,349.69,62.50,18.75,12.50
31,26.68,711.82,68.89,40.00,11.11
31,11.07,122.54,75.00,12.50,8.33
31,17.42,303.46,87.25,37.50,6.25
30,24.12,581.77,70.00,16.67,22.22
30,16.7,278.89,81.72,37.93,10.34
30,27.59,761.21,59.62,30.77,9.62
29,29.56,873.79,62.93,4.88,12.20
29,32.66,1066.68,65.52,17.24,13.79
29,19.24,370.18,78.42,5.26,19.32
29,23.87,569.78,54.76,28.57,16.67
27,19.59,383.77,58.33,27.78,13.89
27,20.46,418.61,61.54,25.64,12.82
27,12.13,147.14,82.05,7.69,7.69
27,28.17,793.55,60.00,30.00,6.67
26,26.78,717.17,77.45,14.89,18.66
26,13.58,184.42,82.96,33.33,3.70
25,26.27,690.11,57.14,38.78,4.08
23,24.31,590.98,70.83,6.25,20.83
22,21.65,468.72,68.18,15.91,15.91
22,14.85,220.52,85.56,37.04,7.41
21,25.47,648.72,59.57,23.40,17.02
21,20.46,418.61,61.54,30.77,5.13
21,20.20,408.04,67.14,28.57,11.43
20,15.37,236.24,64.29,10.71,17.86
20,23.52,553.19,57.50,32.50,5.00
20,13.21,174.50,84.45,31.11,2.22
19,9.97,99.40,63.33,3.33,3.33
19,21.42,458.82,70.00,33.33,16.67
19,27.48,755.15,68.57,11.43,4.29
17,27.7,767.29,82.08,35.42,12.50
17,13.52,182.79,82.35,11.76,5.88
17,18.02,324.72,83.89,30.56,5.56
17,13.14,172.66,68.57,2.86,5.71
17,19.86,394.42,74.29,31.43,14.29
17,14.24,202.78,72.41,17.24,6.90
16,15.8,249.64,73.53,14.71,8.82
16,9.62,92.54,78.26,17.39,4.35
16,15.94,254.08,79.49,17.95,2.56
16,15.12,228.61,84.62,12.82,0.00
16,11.07,122.54,75.00,12.50,8.33
16,13.1,171.61,74.07,7.41,11.11
15,12.46,155.25,70.37,25.93,3.70
15,10.94,119.68,55.70,0.00,0.00
15,23.16,536.39,63.04,32.61,4.35
15,26.02,677.04,63.46,32.69,3.85
15,23.51,552.72,64.44,26.67,6.67
14,20.07,402.80,89.22,17.07,14.63
13,12.06,145.44,73.08,19.23,3.85
12,15.47,239.32,86.70,24.24,6.06
12,25.33,641.61,64.00,26.00,10.00
12,18.03,325.08,64.00,0.00,0.00
11,10.07,101.40,88.29,17.07,4.63
10,10.61,112.57,88.00,24.00,0.00
25,29.81,746.22,62.50,18.75,12.50
21,22.46,447.79,70.00,16.67,22.22
18,20.13,402.54,65.71,11.43,21.86
17,28.32,780.24,82.08,35.42,12.50
14,18.74,324.92,83.89,30.56,5.56
13,12.34,155.38,75.00,12.50,8.33
12,24.67,643.54,64.00,26.00,10.00
