Service Delay,Conflicting Flow(P/m), Proportation of 3W&4W
14,15.105,19.17808219
14,11.94,18.51851852
13,16.52,19.51219512
9,19.68,35.48387097
13,10.165,24.1
12,11.8,26.96629213
9,18.845,31.94444444
9,10.935,15.09433962
9,18.375,37.5
9,12.67,36.36363636
9,17.9,39.39393939
9,15.36,31.03448276
10,24.1,24.7706422
10,19.075,30.50847458
10,19.075,30.50847458
10,18.9,24.67532468
10,19.835,23.45679012
10,18.835,39.39393939
10,20.765,25.6097561
10,19.54,26.19047619
10,23.44,31.1827957
10,22.255,37.20930233
11,18.285,22.07792208
11,12.165,20
11,15.13,23.07692308
11,19.185,36
11,11.24,15.38461538
11,21.77,17
11,18.9,24.67532468
11,22.135,26.96629213
11,23.8,30.63063063
11,21.675,28.57142857
11,9.69,40
11,19.63,17.07317073
11,17.9,19.4
11,13.945,32.65306122
11,14.555,21.81818182
12,19.365,27.05882353
12,18.08,28.94736842
12,20.59,26.37362637
12,20.755,25
12,23.245,26.26262626
12,5.91,12.5
12,15.13,23.07692308
12,18.865,27.63157895
12,17.065,28.76712329
12,18.285,25
12,9.68,27.77777778
12,19.535,25.88235294
13,26.1,24.7706422
13,4.045,8.695652174
13,8.5,43
13,22.61,16.96428571
13,14.11,14.86486486
13,17.555,28.94736842
13,21.39,29.54545455
13,17.405,32.35294118
13,26.28,22.95081967
13,26.46,26.05042017
13,16.785,15.38461538
13,16.275,28.57142857
13,24.27,23.21428571
13,14.35,31.03448276
13,14.81,22.05882353
14,24.24,27.35849057
14,19.075,27.53050847
14,21.385,29.21348315
14,17.495,24.69135802
14,19.54,26.19047619
14,17.515,24.67532468
14,17.915,30.66666667
14,12.88,34.61538462
14,26.5,5.5
14,6,41.6
14,19.25,8.123076923
14,8.34,40.5
14,6.3,40.4
14,11.5,11.53846154
14,13.59,20
14,11,33.33333333
14,18.695,27.39726027
14,19.45,23.07692308
14,25.3,30.35714286
14.5,19.605,13.59223301
15,19.365,27.05882353
15,13.04,27.5862069
15,23.38,11.66666667
15,19.725,18.82352941
15,21.41,20
15,23.37,31.25
15,6.28,14.7
15,15.62,17.9
15,17.185,35.82089552
15,8,56
16,7.8,52.1
16,15.695,18.42105263
16,8.4,51.1
16,23.005,23.30097087
16,17.34,29.72972973
16,11.28,18.37179487
16,18.14,29.33333333
16,11.9,46.9
16,26.145,27.10280374
16,22.32,26.08695652
16,20.03,37.17948718
16,19.185,20.65217391
16,21.96,30.76923077
16,19.87,28.39506173
16,19,16.66666667
16,24.225,33.33333333
17,19.295,16.49484536
17,18.905,17.70833333
17,18.655,27.16049383
17,20.205,30.58823529
17,25.62,29.47368421
17,14.43,26.2295082
17,19.755,36.36363636
17,21.96,30.76923077
17,4.045,8.695652174
17,12.1,25.64102564
17,27.7,8.2
17,32.1,16.66666667
17,23.245,26.26262626
17,20.095,43.05555556
17,23.225,31.57894737
17,14.21,32.14285714
17,22.31,38.37209302
17,26,31.42857143
17,20.475,26.13636364
17,18.755,32
17,23.49,37.20930233
17,10.745,21.42857143
18,19.39,35.25714286
18,18.22,28.20512821
18,25.95,28.57142857
18,15.095,23.88059701
18,24.5,29.24528302
18,30,5
18,7.9,20
18,15.74,27.86885246
18,10.3,45.2
18,15.105,49.2
18,23.515,38.04347826
18,19.43,38.02816901
18,19.235,34.7826087
18,20.315,38.96103896
18,24.005,18.62745098
18,14.685,35.65217391
18,21.935,16.85393258
19,32.6,10.3
19,27.565,27.02702703
19,11.4,50
19,21.185,40
19,18.73,34.3
19,13.83,20.68965517
19,16.55,25.42372881
19,12.67,42.5
19,8.4,55.7
19,9.9,52.5
19,21.01,31.50684932
19,20.965,34.14634146
19,14.475,28.57142857
19,18.25,25
19,23.265,25.25252525
20,20.755,34.93975904
20,28.67,35.45454545
20,11,48.6
20,10.8,46.3
20,28,31.62393162
20,28.9,22.35294118
20,19.49,36.48648649
20,26.35,27.92792793
20,12.475,27.27272727
21,24.05,39.53488372
21,19.87,32.4308642
21,22.88,36.9
21,14.245,32.65306122
21,24.27,46.9
21,11.97,40.83333333
21,27.785,44.53084112
21,11.5,49.5
21,32.2,9.2
21,25.51,41.1
21,24.745,48.4
22,17.67,49.1
22,14.655,34.6
22,22.38,37.93103448
22,19.295,46.2
22,19.845,38.57142857
22,13.89,51.7
22,20.55,41.56842105
22,17.095,42.8
