Service Delay,Conflicting Flow(P/m), Proportation of 3W&4W
6,6.03,5.81
6,6.59,10.75
6,7.00,15.12
6,9.38,10.10
7,13.87,14.00
7,7.78,16.05
7,14.47,8.30
7,15.96,17.52
7,16.38,24.66
7,7.10,25.81
7,9.11,22.62
7,10.66,16.98
7,7.38,15.00
7,11.11,17.15
7,15.29,13.17
7,14.95,16.00
7,16.51,16.31
7,15.97,17.21
7,11.83,17.65
7,13.52,15.15
8,21.58,29.67
8,15.97,27.27
8,11.83,17.65
8,12.38,15.63
8,12.33,27.27
8,16.01,22.54
8,17.10,25.81
8,14.89,12.50
8,14.11,19.51
8,8.10,17.38
8,11.70,9.82
8,7.04,12.29
8,11.47,28.00
8,15.17,16.39
8,22.36,15.12
8,19.12,28.33
8,17.84,20.00
9,11.80,19.64
9,4.63,28.92
9,12.55,19.23
9,18.45,23.46
9,16.38,24.66
9,16.96,26.39
9,15.17,16.39
9,25.63,18.31
9,8.21,13.64
9,9.49,23.26
9,9.72,36.52
9,22.69,15.96
9,12.26,16.67
9,7.96,15.41
9,14.55,34.13
9,17.75,10.00
9,12.81,17.19
9,12.41,28.30
9,15.29,29.82
9,13.75,31.03
9,17.52,23.61
9,20.45,7.84
9,16.43,13.79
9,10.85,16.00
9,14.47,28.30
9,11.47,28.00
10,21.82,21.11
10,17.89,12.63
10,26.46,37.56
10,17.88,19.74
10,13.13,10.96
10,15.00,21.10
10,20.22,16.35
10,15.00,22.21
10,12.85,27.45
10,18.82,28.95
10,20.26,26.44
10,13.81,17.14
10,19.90,17.50
10,16.84,14.85
10,15.15,13.00
10,15.45,11.43
10,17.89,12.63
10,11.29,15.15
10,24.79,15.77
10,19.11,11.32
10,16.65,12.09
10,13.58,12.50
11,17.52,23.61
11,18.89,16.91
11,25.41,25.69
11,20.64,9.24
11,24.03,17.34
11,21.78,29.27
11,13.03,34.62
11,19.11,11.32
11,18.76,29.17
11,25.53,22.32
11,10.74,13.43
11,19.14,6.96
11,21.82,21.11
11,10.85,16.00
11,19.85,9.52
11,19.12,19.74
11,19.12,9.52
11,15.97,13.43
11,13.27,16.00
11,20.46,11.84
11,21.88,19.74
11,14.35,11.84
11,15.88,13.43
11,19.60,16.00
11,11.22,17.86
12,8.21,13.64
12,16.65,12.09
12,14.19,17.14
12,16.57,13.89
12,15.69,20.00
12,22.83,22.47
12,21.70,32.35
12,17.34,30.43
12,19.60,15.21
12,14.98,19.12
12,13.30,35.19
12,15.23,22.39
12,14.89,12.50
12,17.63,21.62
12,17.63,21.62
12,9.48,26.83
12,16.43,13.79
12,5.32,44.33
12,15.96,37.10
12,17.10,25.81
12,16.65,12.09
12,22.36,16.47
12,15.18,13.16
12,14.66,24.62
12,12.86,24.14
13,23.75,29.00
13,21.85,15.79
13,22.59,39.08
13,9.08,15.22
13,14.47,31.58
13,22.73,33.71
13,19.11,22.62
13,15.46,36.67
13,27.06,35.51
13,12.75,35.14
13,13.15,39.22
13,10.26,24.44
13,8.12,13.14
13,15.22,17.86
13,9.52,32.50
13,21.51,21.74
13,22.52,20.19
13,14.66,24.62
13,20.01,15.38
13,17.14,16.09
13,22.59,15.08
13,24.14,18.63
13,9.44,37.84
13,21.09,16.67
14,16.50,31.58
14,24.60,30.93
14,17.89,12.63
14,18.98,10.38
14,16.62,23.19
14,15.75,24.44
14,26.30,25.47
14,16.65,12.09
14,22.51,11.86
14,22.38,9.52
14,13.54,13.89
14,16.50,26.09
14,18.10,34.38
14,8.04,37.37
14,19.21,39.73
14,14.32,15.07
14,5.90,12.08
14,12.26,16.67
14,14.60,30.93
15,16.97,36.92
15,24.50,31.52
15,21.71,30.77
15,21.44,32.10
15,22.25,17.27
15,16.65,12.09
15,19.99,21.28
15,21.90,13.79
15,25.64,33.01
15,14.39,16.00
15,6.86,35.84
15,18.68,21.35
15,18.09,26.58
16,23.05,26.47
16,24.13,25.23
16,23.61,23.04
16,25.60,34.38
16,26.77,13.89
16,15.09,26.56
16,11.54,27.45
16,13.15,39.22
16,4.78,41.49
16,21.10,25.33
16,17.24,33.65
16,17.42,29.38
16,18.66,32.88
16,21.27,6.84
17,11.72,35.10
17,17.52,23.61
17,18.67,28.38
17,16.98,19.75
17,14.88,18.84
17,21.17,29.55
17,27.87,20.00
17,22.52,20.19
17,9.60,42.31
17,22.95,18.92
17,24.82,20.00
17,10.66,16.98
17,16.58,30.64
17,21.82,21.11
18,22.84,39.51
18,15.61,42.59
18,28.31,29.61
18,26.67,37.36
18,26.08,25.47
18,18.94,13.41
18,21.85,15.79
18,23.47,35.00
18,19.63,32.50
18,13.77,30.43
18,21.17,29.55
19,18.78,21.54
19,19.45,30.67
19,26.95,38.30
19,29.46,39.29
19,18.44,39.44
19,23.06,24.27
20,27.75,28.26
20,24.74,24.75
20,21.88,36.78
20,14.32,44.07
20,26.33,19.64
21,23.91,32.14
21,20.17,36.84
21,26.33,45.32
21,24.51,39.29
21,19.40,24.14
22,31.82,44.00
23,25.64,39.36
23,28.94,42.55
23,25.78,46.51
24,28.52,40.67
24,31.13,44.15
24,31.91,43.84
27,28.71,42.86
27,30.72,46.15
27.5,33.87,47.62
28,34.22,45.67
28,30.08,43.61
30,30.02,46.23
30,30.26,49.86
31,31.70,48.65
31,33.80,48.12
32,35.41,52.56
32,33.33,46.43
33,36.78,48.97
34,34.09,48.79
35,35.87,27.69
35,33.33,55.36
37,33.30,51.23
38,38.10,49.12
38,35.33,57.00
40,37.90,52.68
41,35.04,54.31
42,36.25,55.96
