Service Delay,Conflicting Flow(P/m), Proportation of 3W&4W
43,32.86,46.25
44,34.61,56.60
46,28.71,54.68
45,33.33,50.74
42,32.01,49.55
41,34.04,45.81
40,30.27,51.43
37,29.01,41.28
34,29.97,46.87
32,28.30,37.50
32,22.36,51.25
31,30.36,41.25
29,26.09,33.33
28,27.46,44.44
27,29.46,39.29
27,24.59,32.32
25,25.02,25.10
25,23.81,26.09
25,26.34,30.49
23,21.16,36.36
23,23.12,30.77
22,27.59,35.85
21,16.47,24.62
26,6.16,45.63
21,26.56,35.24
20,23.49,33.68
20,19.95,37.14
19,20.66,25.81
19,22.25,17.27
21,8.68,41.35
17,18.98,10.38
16,18.02,24.68
24,18.83,47.86
16,16.53,22.37
15,17.24,25.00
15,12.76,29.63
15,14.75,29.63
15,19.47,31.71
13,15.94,25.71
12,19.64,20.38
18,21.59,8.40
14,18.00,14.89
17,13.36,9.21
